Rank,Employer,Total_H1B_Approvals_FY2023
160,DEERE AND COMPANY,103
161,THE UNIVERSITY OF CHICAGO,103
162,UNIVERSITY OF FLORIDA,103
163,WORKDAY INC,103
164,EMORY UNIVERSITY,102
165,EQUIFAX INC,102
166,UT BATTELLE LLC ORNL,101
167,ERP ANALYSTS INC,100
168,SAP AMERICA INC,100
169,LYFT INC,99
170,INDIANA UNIV PURDUE UNIV INDIANAPOLIS,98
171,BEST BUY CO INC,97
172,BLACKROCK FINANCIAL MANAGEMENT INC,97
173,JOHNS HOPKINS UNIVERSITY,97
174,V SOFT CONSULTING GROUP INC,97
175,GENERAL HOSP CORP D/B/A MASS GENERAL HOSP,96
176,YALE UNIVERSITY,96
177,ZILLOW INC,96
178,NAGARRO INC,95
179,TARGET ENTERPRISE INC,95
180,ABBVIE INC,94
181,BATTELLE MEMORIAL INSTITUTE,94
182,DXC TECHNOLOGY SERVICES LLC,94
183,STARBUCKS COFFEE COMPANY,94
184,UBS BUSINESS SOLUTIONS US LLC,94
185,DUKE UNIVERSITY UNIV MED CTR AFFIL,93
186,AVCO CONSULTING INC,92
187,NATSOFT CORPORATION,92
188,TATA ELXSI LIMITED,92
189,CALIFORNIA INSTITUTE OF TECHNOLOGY,91
190,UNIVERSITY OF ALABAMA AT BIRMINGHAM,91
191,CHEWY INC,90
192,CRUISE LLC,90
193,DELL USA L P,90
194,EPAM SYSTEMS INC,90
195,PIONEER CONSULTING SERVICES LLC,90
196,POPULUS GROUP LLC,90
197,TEXAS A&M UNIVERSITY,89
198,MANAGEMENT HEALTH SYSTEMS LLC DBA MEDPRO INTERNATIONAL,88
199,NORTHWESTERN UNIVERSITY,88
200,THE OHIO STATE UNIVERSITY,88
